,sbb_stop_to_stop_lausanne_region.stop_id_a,sbb_stop_to_stop_lausanne_region.stop_id_b,sbb_stop_to_stop_lausanne_region.distance
2784,8579256,8588449,427.9437
2785,8579256,8592177,136.6087
2786,8579256,8592171,380.10873
2787,8579256,8593798,432.97754
2788,8581914,Parent8595216,66.16995
2789,8581914,8501117:0:3,73.827286
2790,8581914,Parent8501117,37.143276
2791,8581914,8595216,66.16995
2792,8581914,8595217,406.98218
2793,8581914,8501117:0:4,76.20572
2794,8581914,8595214,285.7577
2795,8581914,8501117:0:1,28.63666
2796,8581914,8595214:0:1,285.7577
2797,8581914,Parent8595214,285.7577
2798,8581914,8581918,281.64978
2799,8581917,8506907,324.75302
2800,8581917,8506903,332.61108
2801,8581917,8581920,406.69867
2802,8581917,8505529,461.56604
2803,8581917,8581918,258.07385
2804,8581917,8506905,155.01337
2805,8581917,8581921,481.16312
2806,8587853,8593845,387.53348
2807,8587853,8592140,442.36914
2808,8588448,8595192,400.60535
2809,8588448,8588450,319.60992
2810,8588448,8588449,213.9132
2811,8588448,8588447,309.1061
2812,8591992,8592119,395.1253
2813,8591992,8591980,379.41217
2814,8591992,8592078,391.9616
2815,8591992,8592032,175.14761
2816,8591992,8592104,290.201
2817,8591992,8591987,493.03647
2818,8591992,8592094,460.905
2819,8591992,8591998,271.92422
2820,8591992,8591984,484.9419
2821,8591992,8592057,315.71487
2822,8591999,8592045,267.36514
2823,8591999,8591981,394.54852
2824,8591999,8592129,357.72684
2825,8591999,8592012,97.422035
2826,8591999,8592190,316.64566
2827,8591999,8510574,165.85406
2828,8591999,8592083,320.50696
2829,8591999,8592043,364.87308
2830,8591999,8592123,465.5564
2831,8591999,8592196,473.60376
2832,8592005,8592027,481.20782
2833,8592005,8591985,388.65662
2834,8592005,8592064,378.01685
2835,8592005,8592075,388.73895
2836,8592005,8592110,254.88037
2837,8592005,8592046,210.78836
2838,8592005,8591989,386.01788
2839,8592005,8592097,476.83374
2840,8592024,8591986,491.25095
2841,8592024,8592040,373.84
2842,8592024,8592027,244.70128
2843,8592024,8592028,182.06227
2844,8592024,8591985,210.97298
2845,8592024,8592026,296.24435
2846,8592024,8592052,352.82913
2847,8592024,8592061,318.7417
2848,8592025,8579245,230.87833
2849,8592025,8592065,208.65381
2850,8592025,8592112,397.6075
2851,8592042,8588432,449.64746
2852,8592042,8591978,174.04921
2853,8592042,8592126,448.91202
2854,8592042,8588431,367.66333
2855,8592042,8592136,205.61052
2856,8592042,8579255,245.86374
2857,8592176,8592175,268.00876
2858,8592176,8501163,186.4238
2859,8592176,8592030,209.8934
2860,8592176,8592107,459.22205
2861,8592176,8592187,213.17067
2862,8592176,8501163:0:1,186.4238
2863,8592185,8592023,336.94098
2864,8592185,8588434,208.54712
2865,8592185,8588450,475.47394
2866,8592185,8592191,186.89876
2867,8592185,8592171,472.63284
2868,8592185,8592183,409.17038
2869,8595004,8592089,183.28061
2870,8595004,8595005,425.01874
2871,8595004,8592055,124.979034
2872,8595004,8587357,275.78183
2873,8595004,8593249,294.99435
2874,8595004,8592092,357.7002
2875,Parent8501118,8501118:0:5,181.70978
2876,Parent8501118,8510721,331.03482
2877,Parent8501118,8588838,64.03353
2878,Parent8501118,8530749,82.168846
2879,Parent8501118,8501118:0:3,179.58118
2880,Parent8501118,8501218,417.50174
2881,Parent8501118,8588983,56.405144
2882,Parent8501118,8593866,384.38922
2883,Parent8501118,8501118:0:4,180.2794
2884,Parent8501118,8592202,374.1036
2885,Parent8501118,8588839,260.42078
2886,Parent8501118,8510421,415.84976
2887,Parent8501118,8501118:0:1,178.39183
2888,Parent8501118,8501118:0:2,179.17494
2889,Parent8501118,8593869,199.89555
2890,Parent8501118,8592214,472.0092
2891,8501164,8501165:0:2,489.32828
2892,8501164,8501164:0:1,0.0
2893,8501164,8501165,489.32828
2894,8501212,8594986,409.98383
2895,8501212,8501213,496.22635
2896,8501212,8594987,136.30777
2897,8501212,8595602,432.42618
2898,8501212,8501211,454.1879
2899,8507540,8573634,266.63123
2900,8507540,8570164,213.09071
2901,8507540,8504178,471.6902
2902,8510421,8501118:0:5,496.96426
2903,8510421,8510721,426.55457
2904,8510421,8588838,356.64273
2905,8510421,8530749,383.1159
2906,8510421,8588983,459.41943
2907,8510421,8592202,388.5891
2908,8510421,8588839,158.64812
2909,8510421,Parent8501118,415.84976
2910,8510421,8588840,307.38647
2911,8510421,8592201,285.25833
